	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
ASV_2834	1	0	0	0	4	1	0	0	0	2	1	1	0	1	1	1	2	0	1	1	1	3	0	2	0	1	0	0	2	3	2	52	3	2	12	6	1	8	0	1	3	5	9	11	1	2	2	0	0	0	0	7	2	0	1	0	0	4	3	0
ASV_2892	0	13	2	0	14	4	0	0	0	0	1	0	0	14	19	0	1	4	0	9	3	0	1	10	0	6	6	0	1	9	0	5	3	3	0	2	1	1	1	4	0	2	0	0	0	1	1	0	6	4	0	7	0	0	4	3	0	0	0	1
ASV_1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	0	2	0	1	0	2	96	5	1	8	1	0	0	0	1	5	18	3	1	0	0	0	0	8	5	0
ASV_2174	5	0	18	2	12	7	4	0	0	0	1	0	2	2	4	10	49	7	0	5	0	0	7	0	0	9	2	0	1	1	0	0	7	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
ASV_2292	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	2	0	1	13	1	70	0	1	0	1	0	0	2	1	0	13	0	1	0	9	0	0	7	21	4	0	1	1	0	6	0
ASV_2300	0	0	0	1	1	0	0	0	0	1	3	5	0	22	7	1	9	1	3	2	3	0	0	0	0	3	3	0	1	12	2	0	11	2	0	6	5	11	7	7	0	2	4	0	1	2	2	12	0	2	0	0	3	6	0	0	0	2	0	0
ASV_2490	2	0	3	0	0	0	1	0	0	5	0	2	1	0	4	1	0	0	0	3	0	2	0	0	0	3	0	0	7	1	7	0	0	6	3	1	1	4	1	1	5	0	3	0	2	7	5	11	6	1	0	7	0	1	1	0	0	7	50	0
ASV_2750	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	2	5	0	0	37	3	5	20	2	6	4	1	18	10	2	0	0	0	2	14	0	2	10	0	0	4	0	0	7
ASV_2764	3	0	0	0	0	0	1	0	0	0	5	0	0	13	3	0	0	1	1	0	0	0	2	0	0	8	0	0	4	1	1	0	0	3	0	24	5	0	2	4	0	5	1	0	0	4	2	0	12	1	1	17	20	2	9	0	0	9	0	1
ASV_2810	0	0	6	0	13	0	0	0	0	0	2	0	0	2	9	0	0	0	0	1	10	0	0	0	0	0	41	0	4	16	0	8	0	0	9	7	0	1	2	0	0	2	0	3	4	0	0	0	0	0	0	0	0	7	0	2	2	0	0	14
ASV_3079	0	0	0	0	0	2	1	1	0	0	0	2	0	0	11	7	0	1	0	4	23	18	65	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	1	0	8	0
ASV_1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	0	0	3	0	11	0	0	0	4	2	95	7	1	1	4	0	4	0	0	0	2	0	22
ASV_2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	10	0	1	14	3	5	1	6	22	1	0	0	0	3	62	1	7	0	7	5	0	10	0	0	2	0	0
ASV_2104	1	1	0	0	0	0	4	0	0	0	22	0	0	0	1	0	18	6	5	0	1	0	2	0	4	1	6	0	30	19	0	0	0	3	0	1	0	0	0	2	0	4	6	3	0	2	0	0	5	3	0	4	0	1	0	6	0	1	0	2
ASV_2140	0	0	1	0	5	0	0	0	0	0	1	36	0	0	7	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	6	0	0	1	1	0	2	15	0	11	8	0	0	2	4	0	1	13	0	38	4	0
ASV_2147	0	0	1	0	0	0	0	1	0	0	3	0	0	2	1	0	132	4	0	1	0	0	4	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2349	2	2	0	0	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	8	5	0	16	6	4	9	4	0	2	2	5	1	7	0	0	8	15	21	14	3	6	0	7	0	3	2	0
ASV_2453	3	0	0	2	1	0	2	1	0	1	0	1	0	0	0	8	75	5	0	2	2	3	0	0	0	4	5	1	17	5	1	0	0	4	0	2	2	0	0	1	0	0	1	8	0	0	0	0	0	1	0	1	1	0	3	0	0	1	0	0
ASV_2621	0	21	2	0	0	0	0	0	0	0	0	0	4	0	0	3	0	1	0	3	0	0	0	0	0	0	0	0	1	0	4	0	10	10	0	0	1	1	5	4	23	12	2	0	0	4	0	8	0	4	1	7	5	0	11	2	0	1	14	0
ASV_2623	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	9	1	0	0	3	2	9	0	7	1	0	2	2	0	0	0	1	4	0	10	3	61	0	2	2	4	7	3	2	3	10	1	6	1	0
ASV_2626	0	1	3	0	0	0	0	0	0	2	0	22	0	0	6	0	0	6	1	4	5	0	0	41	0	0	11	0	10	35	2	0	0	1	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ASV_3043	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	31	0	0	18	0	0	0	0	0	0	0	2	12	0	0	0	0	2	0	0	2	22	0	1	0	0	0	69
ASV_2137	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	12	0	4	1	0	2	0	1	0	3	11	7	5	11	22	4	5	0	0	6	1	3	3	0	0	7	4	0	3	1	5	4	4	0	4	7	13
ASV_2253	18	31	6	2	2	0	1	1	0	6	2	0	5	13	16	1	22	0	0	4	0	0	2	0	2	12	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	4
ASV_2396	7	0	0	62	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	36	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2554	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	4	3	1	1	0	0	3	26	13	0	3	0	0	0	0	3	0	4	7	4	45	11	1	8	0	17	0	1	0	0
ASV_2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	5	0	0	0	5	0	0	0	0	4	0	2	4	0	0	0	10	7	6	0	7	4	0	0	5	1	4	1	1	1	4	0	0	3	31	12	31	3	1
ASV_2969	7	0	0	23	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	34	5	0	36	0	0	13	0	0	0	22	0	0	0	12	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_2983	3	0	2	8	6	0	13	0	0	1	3	0	0	1	0	0	0	2	2	0	0	6	1	0	0	0	0	0	1	0	0	0	1	0	0	2	2	3	11	6	7	2	4	12	0	4	1	10	6	2	3	8	4	3	2	13	0	8	0	0
ASV_3003	13	0	5	22	1	0	26	0	0	12	0	0	8	0	0	0	0	0	4	1	0	9	0	0	10	0	0	0	0	0	0	0	1	4	0	0	1	7	0	1	0	0	2	0	0	2	1	3	5	0	0	4	10	3	3	0	0	3	0	2
ASV_3023	0	0	0	1	0	0	0	1	1	1	2	0	1	1	0	7	0	0	10	15	53	4	1	0	0	0	7	0	55	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_3034	1	2	5	1	2	0	0	0	0	0	2	5	0	3	0	0	4	16	0	0	1	0	25	0	0	11	0	0	1	2	2	3	2	2	0	41	0	0	1	2	5	2	1	0	3	1	0	1	1	1	0	1	2	0	2	0	4	2	3	0
ASV_1839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	14	55	9	0	0	1	6	0	0	3	2	0	3	0	5	2	1	1	0	5	2	7	41	0
ASV_1960	0	0	2	0	3	0	0	4	0	0	3	0	0	1	5	0	114	7	0	2	0	0	5	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2054	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	2	5	0	6	0	2	3	13	4	3	16	3	5	0	1	4	2	0	14	2	17	7	2	1	11	4	13	0	4	3
ASV_2179	0	0	0	0	29	77	1	0	4	0	0	6	0	0	0	0	0	1	0	5	5	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	1	0	0	1	0	1	0	0	5	5
ASV_2254	1	11	2	0	0	0	0	0	0	1	0	0	15	3	3	13	0	2	0	0	0	4	0	6	0	1	0	0	0	0	0	0	2	1	0	0	2	2	0	0	1	2	3	0	2	4	0	0	5	0	0	16	3	47	0	0	0	3	3	4
ASV_2283	5	13	5	0	0	0	0	0	0	9	0	0	3	12	6	2	7	1	0	2	0	9	3	0	0	8	0	0	2	13	0	5	2	3	0	4	4	3	0	1	0	4	4	1	2	1	0	0	1	0	0	3	7	0	11	0	0	6	0	0
ASV_2321	0	0	26	0	2	5	0	0	0	0	0	1	1	2	0	0	0	2	0	2	2	1	1	12	0	6	0	0	2	1	2	6	1	9	26	0	1	2	2	0	0	1	2	2	8	0	8	1	0	1	0	9	6	6	3	0	0	0	0	0
ASV_2407	0	1	0	1	6	11	0	40	0	0	0	1	0	3	8	0	30	3	2	0	2	0	0	0	0	6	2	0	0	0	0	4	1	0	0	1	1	1	3	1	0	2	0	0	0	6	1	0	1	1	9	0	0	10	2	0	0	2	0	0
ASV_2719	2	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	3	0	3	4	4	6	1	14	2	5	2	5	0	0	2	3	0	5	1	15	5	11	1	15	7	7	10	2	0	10	0	3
ASV_2996	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	22	0	0	4	9	0	0	3	0	1	5	1	4	39	0	0	0	1	1	0	0	4	26	0	5	2	0	0	23
ASV_1900	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	56	6	0	1	2	25	10	2	2	0	0	2	4	0	1	18	10	1	11	0	1	0	2
ASV_1964	0	0	8	0	5	0	0	0	0	0	3	0	0	30	39	0	3	22	1	2	2	0	0	0	0	6	1	0	4	5	0	5	0	0	0	0	1	0	0	4	0	2	3	0	0	0	0	0	2	4	8	0	0	0	0	0	0	1	0	0
ASV_1983	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	38	3	1	0	4	0	3	3	15	38	0	11	0	3	15	0	1	1	0	2	0	0	0	3	0
ASV_2132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	14	7	0	22	3	1	0	1	1	4	0	0	0	13	42	14	2	3	7	4	12	2	1	0	0	3	0	0
ASV_2281	8	1	7	0	1	0	0	0	0	0	0	1	6	18	9	11	1	3	7	5	0	3	5	0	2	2	0	0	5	11	2	1	2	7	0	0	0	1	1	2	0	3	12	0	0	0	0	0	8	0	0	4	0	1	9	0	0	2	0	0
ASV_2472	1	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	2	0	1	2	4	3	3	8	1	0	0	2	2	2	9	38	1	11	8	0	1	0	0	6	8	1	5	11	2	5	1	0	5	0	0
ASV_2555	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	2	0	1	4	31	2	6	0	0	16	7	11	2	1	13	2	0	0	11	13	6	1	0	0	5	5	1
ASV_2597	0	0	18	0	0	0	0	26	0	0	0	24	0	4	0	0	0	2	2	1	17	0	59	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ASV_2856	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	7	0	0	3	0	53	35	36	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	12	0
ASV_2884	10	31	11	2	0	0	1	0	0	4	3	0	0	8	2	3	0	7	3	3	0	0	1	0	0	13	0	0	1	0	0	0	0	4	0	0	2	0	1	3	0	0	5	0	0	1	2	17	9	2	0	5	2	2	0	0	0	3	0	0
ASV_2907	0	0	0	0	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	7	6	1	2	1	4	3	3	2	4	9	1	6	3	24	1	0	0	9	3	4	15	20	0	4	6	0
