	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
ASV_1000	22	44	37	5	42	10	8	1	1	6	9	1	12	31	5	4	7	8	7	20	2	2	0	0	1	17	0	0	8	0	11	0	11	52	5	1	19	7	10	37	0	3	10	0	5	17	2	14	25	0	0	15	0	1	16	0	10	20	16	0
ASV_817	5	1	2	0	0	0	0	0	0	1	0	0	0	15	0	2	0	1	0	1	0	5	0	0	0	6	0	0	11	0	9	11	0	6	2	23	6	18	0	13	309	7	9	0	5	4	6	8	15	2	1	10	6	14	3	2	0	11	63	4
ASV_1132	1	1	8	0	16	0	2	5	0	2	1	18	0	7	14	0	12	0	1	8	0	0	2	9	0	4	2	0	6	1	15	31	12	31	14	38	10	31	8	22	7	13	8	17	6	15	23	11	25	24	6	21	2	20	22	10	39	5	3	7
ASV_653	0	0	4	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	36	0	1	0	0	0	1	12	14	0	19	0	0	11	7	16	19	0	49	8	0	40	19	23	133	19	2	37	15	8	10	7	29	9	13	5	44
ASV_1601	0	0	3	0	14	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	111	0	0	0	0	1	0	14	0	0	0	19	25	2	1	48	0	20	43	1	12	13	2	17	54	0	0	0	0	21	35	0	3	11	0	19	7	0	60	56
ASV_673	0	0	8	0	2	0	0	0	0	0	0	0	0	1	59	0	0	2	0	2	0	1	2	0	0	0	0	0	1	0	14	0	1	22	0	0	268	137	5	0	0	0	0	0	6	9	7	12	7	1	0	16	7	9	0	0	0	13	1	1
ASV_1375	1	1	118	2	28	7	0	0	0	4	9	0	4	5	11	16	31	8	0	12	6	3	4	0	0	12	0	5	36	16	3	28	12	4	8	1	6	14	1	1	12	2	17	7	3	5	13	1	2	20	22	1	5	32	3	2	30	8	11	0
ASV_738	5	46	19	2	8	0	0	5	0	6	17	20	0	7	2	33	220	21	4	21	2	0	11	0	1	24	4	0	68	60	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0
ASV_813	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	27	5	31	5	2	9	18	45	13	57	60	7	46	13	16	23	9	43	20	3	45	18	3	13	12	8	0	31	17	5
ASV_845	2	112	1	0	7	0	0	0	0	0	27	1	0	0	1	0	0	15	0	31	0	0	2	0	0	375	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_739	1	0	1	0	14	0	1	0	0	0	2	7	2	0	3	0	1	6	1	9	0	0	1	2	0	1	0	0	0	0	13	4	1	3	1	10	2	24	20	10	19	6	2	5	14	11	1	16	9	31	312	0	2	5	5	0	8	22	1	0
ASV_839	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	18	1	0	16	0	0	37	0	4	28	9	80	25	2	16	19	23	181	22	7	7	9	0	5	10	7	11	25	3	31
ASV_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	73	0	0	0	0	0	0	2	0	0	0	63	41	0	14	56	1	12	25	0	17	12	0	10	43	1	21	0	0	24	17	0	19	46	0	0	44	0	5	59
ASV_1017	7	16	29	0	9	0	2	0	0	0	4	11	4	3	29	1	0	1	6	3	17	7	5	38	0	2	2	1	4	1	21	20	26	25	36	2	35	18	16	11	4	11	14	6	7	10	4	21	7	20	0	24	4	5	15	9	0	29	4	2
ASV_639	2	1	10	2	8	13	15	117	5	1	2	34	3	9	16	1	6	14	4	6	17	0	1	0	0	15	3	0	2	6	5	5	21	14	0	10	14	12	2	16	1	32	8	2	1	25	14	18	7	7	4	0	1	1	14	2	27	20	0	12
ASV_730	2	1	2	1	0	0	2	0	0	2	0	14	0	10	20	0	1	0	3	6	1	0	5	11	2	9	6	0	0	7	18	0	1	22	0	1	24	8	13	20	6	33	17	1	2	62	16	50	22	38	50	12	0	4	11	7	0	37	3	25
ASV_679	1	0	15	0	3	0	0	0	0	0	2	0	0	4	0	0	2	1	4	7	0	2	2	0	0	2	2	0	0	0	13	11	15	17	88	5	24	28	24	16	1	25	14	4	11	12	40	55	14	14	20	43	9	11	11	5	0	26	2	2
ASV_1003	12	11	18	0	3	0	0	0	0	1	2	0	2	13	1	1	28	12	0	1	1	0	2	0	0	48	5	0	5	0	70	33	4	18	0	14	4	17	6	11	11	1	22	5	7	18	23	11	46	12	5	19	2	2	12	11	9	18	25	3
ASV_773	7	11	7	0	14	94	3	0	3	0	6	22	1	7	117	27	2	21	4	10	1	14	7	2	0	22	38	2	99	34	0	0	0	1	0	0	0	2	9	0	0	0	1	0	7	5	0	0	0	0	0	0	1	3	1	0	0	0	0	0
ASV_850	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	5	14	2	5	36	0	2	9	0	1	19	0	2	0	0	0	0	0	0	0	0	0	4	0	0	32	0	193	9
ASV_811	4	1	12	6	15	50	3	0	0	5	0	22	0	4	9	3	21	1	2	10	2	0	9	3	3	19	11	6	24	15	4	12	14	15	3	10	47	6	5	5	4	6	16	1	3	8	20	8	14	9	12	20	0	3	16	1	22	50	10	0
ASV_1155	39	1	13	5	10	20	8	111	0	1	3	6	2	17	1	0	7	2	1	9	0	18	14	55	10	17	8	1	0	14	6	11	7	21	1	0	13	2	15	5	4	11	0	2	7	10	2	1	15	4	0	10	9	9	4	27	0	8	2	4
ASV_1030	2	0	3	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	64	0	0	0	0	0	0	4	5	0	29	20	12	0	16	35	1	7	12	0	18	13	3	5	54	0	0	0	62	15	2	62	3	55	2	10	14	0	2	63
ASV_689	14	11	4	4	10	15	21	107	1	0	1	27	2	3	4	0	3	4	3	2	0	8	8	68	0	1	3	50	20	22	6	3	2	2	0	26	7	2	0	5	1	0	0	16	2	13	6	19	8	40	1	2	12	0	3	1	0	9	0	0
ASV_788	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	67	7	1	0	1	0	0	8	0	0	0	33	16	1	18	39	1	12	41	0	31	39	0	15	49	0	3	2	1	16	1	0	15	50	0	23	46	0	13	45
ASV_2394	5	5	0	7	9	19	2	0	3	8	3	0	1	20	0	34	2	5	4	8	38	3	0	1	0	6	0	0	1	26	9	14	4	37	0	0	41	7	12	23	4	16	13	1	0	16	1	18	21	9	7	59	4	1	46	1	7	13	7	0
ASV_2698	6	26	18	5	59	1	30	0	0	6	3	18	1	0	10	6	30	7	1	2	1	13	6	12	2	5	13	0	2	7	6	4	5	24	7	22	19	7	12	5	6	10	7	4	2	13	31	1	9	3	1	15	3	3	8	12	21	21	27	3
ASV_792	11	32	4	1	10	0	3	0	0	0	3	0	3	15	30	18	5	3	16	5	4	1	2	0	6	5	0	3	3	35	20	32	5	15	0	0	38	40	8	5	8	15	2	1	1	7	9	1	16	30	36	20	1	4	9	1	0	23	9	27
ASV_1092	9	17	15	13	8	0	5	11	0	2	0	27	7	0	0	0	22	30	3	3	3	1	26	0	0	54	0	0	5	9	5	4	21	14	4	6	11	22	4	26	6	19	10	15	6	16	10	5	9	15	3	12	2	3	16	18	0	17	19	12
ASV_780	1	8	34	0	24	1	0	0	0	0	11	0	0	4	0	0	10	0	0	2	0	0	1	4	0	1	0	0	8	0	6	88	25	2	0	9	1	53	24	8	8	5	6	13	23	18	6	12	6	30	31	3	33	12	29	5	6	11	15	2
ASV_1187	0	0	49	1	34	7	0	0	1	0	6	12	0	2	25	0	10	28	5	12	1	0	7	10	4	9	0	0	5	0	11	12	9	0	20	9	3	11	3	28	14	23	15	10	27	14	6	38	7	37	17	1	1	8	5	8	5	23	5	0
ASV_1240	11	52	9	3	14	11	1	3	0	4	6	0	1	25	0	0	95	11	2	4	1	0	2	0	4	84	0	1	4	2	11	4	0	7	1	4	5	21	10	15	9	1	16	5	3	5	10	12	40	3	0	18	3	5	7	21	0	12	0	0
ASV_2258	5	32	29	0	34	7	1	0	1	0	31	6	0	15	31	0	3	80	0	25	0	0	13	1	0	91	0	0	16	2	0	2	0	14	0	21	2	3	6	3	0	3	2	7	5	2	22	5	10	5	0	10	11	5	3	3	6	12	13	0
ASV_985	3	0	21	0	0	17	0	0	0	1	6	0	0	1	6	0	0	7	0	6	0	0	2	3	0	2	1	0	1	1	14	54	11	1	0	24	6	28	49	21	17	8	8	4	19	5	2	7	10	19	2	1	39	7	30	42	5	32	53	2
ASV_1297	0	44	9	0	2	0	0	0	0	2	2	0	2	48	7	1	1	2	2	2	2	0	0	0	0	13	8	3	5	1	8	3	3	10	2	0	8	7	14	21	58	4	2	8	9	6	0	2	9	14	1	18	10	5	18	10	0	20	171	0
ASV_727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	52	52	0	0	80	0	1	25	0	3	82	0	8	63	1	0	0	0	12	93	0	10	17	7	6	52	0	2	23
ASV_735	0	3	2	0	5	0	0	0	0	1	1	0	0	0	3	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	25	65	17	20	0	27	38	11	28	22	14	25	6	2	20	10	6	62	12	7	2	15	17	3	76	6	2	19	10	8
ASV_924	1	1	0	0	5	0	2	1	0	1	0	0	2	0	3	0	9	2	2	5	0	2	3	0	0	0	0	6	1	0	14	24	9	4	0	51	9	64	12	9	13	11	22	6	3	16	7	9	40	24	21	15	13	12	5	19	0	50	51	15
ASV_958	0	0	10	0	12	0	2	367	0	0	1	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	6	9	0	1	16	5	1	9	6	2	8	1	4	0	20	7	7	12	7	2	8	1	13	7	4	1	0	21	8	0
ASV_1073	3	0	1	15	113	141	24	0	105	0	2	0	1	4	1	0	3	3	0	5	2	3	13	3	0	8	2	6	6	19	0	15	0	0	19	1	1	0	4	0	0	0	0	2	1	0	0	0	0	1	12	0	0	0	0	20	2	1	29	0
ASV_655	6	13	4	0	1	0	2	0	0	0	4	3	0	2	19	1	0	2	3	1	0	0	1	0	0	3	0	0	2	1	21	3	0	18	0	7	24	10	31	14	4	33	17	1	55	29	33	44	20	37	52	7	0	4	3	0	13	13	4	26
ASV_743	4	1	5	4	4	8	6	127	9	15	14	108	5	4	12	25	20	14	10	18	6	0	10	1	1	16	21	2	4	6	1	1	2	2	0	0	0	18	0	8	0	6	1	0	0	1	0	0	1	3	19	0	1	1	3	19	0	1	4	19
ASV_823	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	19	0	0	11	0	0	1	0	0	0	62	36	0	1	143	0	0	3	0	5	10	2	19	80	0	12	0	0	3	24	0	7	35	0	4	23	0	2	67
ASV_2921	1	11	0	1	15	0	0	1	0	2	12	5	0	13	6	0	32	30	5	24	1	0	12	0	0	28	2	0	11	3	8	14	3	13	14	7	23	7	10	4	1	11	8	7	4	5	27	48	8	32	1	7	21	5	7	9	3	5	61	1
ASV_720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	1	0	0	0	18	9	0	41	43	0	38	44	0	36	38	0	25	37	0	0	0	0	65	11	0	17	4	0	31	29	0	4	33
ASV_745	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	8	0	1	0	1	9	10	12	0	37	31	18	5	10	66	22	12	37	5	10	10	10	13	100	5	30	34	3	24	6	1	7	43	0
ASV_687	0	18	9	3	12	2	1	0	0	6	9	0	6	30	51	9	0	9	1	4	1	3	2	21	0	14	0	0	20	6	7	4	4	18	2	43	6	20	26	9	0	7	7	2	4	21	22	36	16	33	2	10	9	10	2	6	2	9	3	11
ASV_693	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	5	14	11	12	5	41	0	165	84	7	13	11	3	21	4	8	11	14	11	8	1	19	10	13	5	8	4	0	10	63	0
ASV_986	7	0	5	7	18	0	0	2	0	3	18	64	4	66	19	6	2	5	53	15	11	0	3	0	17	19	5	0	5	4	2	1	1	8	1	0	4	1	3	25	2	19	11	0	0	7	9	90	5	7	6	9	0	3	4	1	1	6	2	2
ASV_1760	5	30	22	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	3	0	0	0	0	15	14	8	7	0	4	30	78	6	19	83	3	27	6	15	20	2	6	91	19	0	27	7	2	6	12	0	14	0	1
ASV_756	3	14	19	4	7	0	0	1	0	0	2	6	5	9	3	0	46	15	0	7	0	0	2	2	0	15	0	0	4	10	9	18	20	30	14	29	10	7	18	14	5	20	20	3	12	14	11	10	8	14	3	17	15	7	24	17	0	17	25	2
ASV_877	0	0	1	0	1	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	58	17	1	0	1	0	29	98	0	8	89	0	36	43	0	20	0	0	13	31	0	2	7	6	12	62	2	6	24
ASV_2908	1	25	17	0	4	11	4	0	28	0	9	0	0	3	0	3	2	4	0	0	5	0	1	0	3	3	0	0	2	3	10	10	5	61	0	24	12	10	14	25	5	4	11	22	6	17	15	1	22	20	5	31	8	6	31	16	10	30	14	10
ASV_601	0	0	0	1	1	0	0	0	0	0	0	1	2	7	0	0	1	13	0	1	0	6	4	488	0	1	1	0	4	0	1	0	0	2	0	0	3	2	0	4	0	1	1	11	11	2	1	4	0	0	1	0	0	0	0	0	0	1	7	0
ASV_770	6	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	10	4	2	48	0	1	28	7	36	18	5	5	17	22	6	15	4	9	11	57	3	44	2	5	101	45	12	44	5	2
ASV_2333	9	13	62	1	12	87	9	1	8	2	2	33	0	7	1	4	0	2	1	0	0	0	1	0	0	7	0	0	1	8	19	15	1	16	0	38	4	20	1	6	4	8	12	8	22	9	5	35	13	12	2	10	10	3	17	7	0	8	4	1
ASV_1393	34	3	5	6	14	7	13	0	3	1	5	0	7	0	6	4	18	3	7	10	8	8	14	13	6	6	17	0	4	19	9	32	22	6	0	5	21	13	7	8	3	5	18	7	5	6	3	10	11	6	0	11	25	8	7	13	52	9	5	12
ASV_2900	7	5	5	2	15	3	6	0	0	0	4	0	0	0	8	1	1	10	1	4	17	0	1	0	1	4	2	0	0	1	16	12	20	10	54	7	6	29	17	24	5	18	15	7	11	3	2	5	14	60	4	9	4	12	10	18	64	11	15	0
ASV_943	1	6	6	6	27	0	6	5	12	1	10	0	0	6	2	0	2	44	3	11	0	5	13	17	0	34	0	4	10	0	8	3	11	19	2	4	8	34	29	10	0	0	14	6	11	23	21	3	12	12	2	21	11	8	13	15	23	15	7	4
ASV_975	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	68	23	0	6	12	0	6	25	0	13	2	0	55	33	1	6	0	0	7	5	0	162	33	3	2	63	0	16	28
ASV_1016	316	0	0	90	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1846	35	13	81	1	4	0	0	1	0	19	5	27	1	6	5	2	3	1	6	1	2	1	2	0	34	1	0	7	6	7	6	1	14	1	2	0	4	0	3	14	0	12	8	4	1	14	0	0	14	8	9	8	1	0	23	44	0	91	24	2
ASV_2574	0	4	6	0	4	18	3	2	0	1	9	0	0	2	3	0	0	19	0	6	6	0	11	5	1	13	2	0	3	3	11	39	4	26	2	46	13	1	8	14	6	8	23	6	4	17	8	10	13	16	18	10	30	47	25	20	4	8	18	3
ASV_677	2	50	10	0	1	8	0	0	0	2	1	4	0	5	6	0	0	0	1	6	0	5	2	9	0	7	2	2	8	3	6	0	3	36	1	4	264	31	1	2	0	1	0	0	1	1	0	4	4	0	0	38	8	10	4	3	0	23	0	0
ASV_872	10	22	9	3	16	5	0	1	0	1	1	25	2	2	14	5	18	6	2	12	0	10	7	1	0	24	4	0	12	9	9	0	4	13	1	4	25	12	4	29	1	15	9	6	3	12	1	20	28	6	6	38	26	13	27	2	0	24	14	6
ASV_990	4	0	19	0	6	18	2	0	0	0	7	31	3	0	10	0	6	0	2	2	0	0	4	0	0	6	1	3	6	0	12	24	5	15	26	14	17	5	11	6	22	16	24	15	18	13	23	15	13	22	4	16	5	13	22	20	4	13	14	22
ASV_676	1	2	0	0	4	1	3	0	0	0	18	0	0	13	7	1	1	9	5	45	12	0	4	0	0	3	1	1	2	12	3	13	4	5	0	0	7	3	0	7	21	91	6	19	18	4	5	7	10	33	134	6	5	3	1	0	7	10	4	7
ASV_815	0	0	4	0	1	0	4	0	0	3	1	0	6	4	16	4	0	5	13	7	0	9	0	35	0	3	4	0	4	0	3	3	11	13	1	19	11	21	1	9	3	4	36	15	11	18	2	0	11	66	10	9	0	2	8	20	0	64	78	6
ASV_901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	5	0	4	0	0	0	20	2	17	10	3	27	20	21	2	29	15	45	13	4	28	24	15	31	16	7	2	15	11	12	16	0	96	20	1	42
ASV_1052	8	0	0	224	0	0	42	0	1	98	0	0	0	0	0	0	0	0	3	0	0	65	0	0	102	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	8	1	0	0	0	0	10	3
ASV_774	0	1	5	0	2	0	0	3	0	0	0	0	0	6	1	0	73	10	0	6	0	0	7	0	0	5	1	2	4	11	0	62	38	0	24	38	2	5	15	0	3	4	1	47	46	2	0	0	6	12	16	0	7	26	0	19	22	0	8	37
ASV_683	0	6	0	1	0	0	1	0	0	0	2	16	4	1	0	0	0	1	0	2	0	0	8	0	0	0	0	4	0	0	3	4	23	2	0	2	8	23	5	13	11	137	10	6	18	24	6	21	21	71	69	10	5	17	0	1	0	4	8	8
ASV_827	2	6	21	2	23	2	5	2	1	1	20	13	149	33	15	5	85	22	3	12	3	2	12	16	1	30	15	27	17	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_765	1	0	12	0	2	1	0	1	0	0	2	2	0	0	3	0	1	7	0	1	2	0	3	0	0	1	0	0	0	0	1	6	2	11	0	2	18	1	0	15	1	52	8	8	78	9	19	114	14	9	4	7	6	28	6	24	26	13	11	43
ASV_797	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	2	65	0	0	232	47	6	3	7	6	2	0	0	14	2	3	18	1	1	57	8	14	9	7	0	35	0	1
ASV_807	4	14	8	0	0	0	0	0	0	4	11	0	5	2	9	0	0	3	2	8	6	1	1	0	0	4	0	0	7	0	8	7	12	60	33	4	19	17	10	6	16	8	36	7	15	16	3	0	27	6	5	37	16	8	74	9	0	21	5	1
ASV_878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0	1	1	9	0	52	13	0	9	89	0	0	11	0	45	18	0	0	0	0	13	41	1	28	37	8	24	78	0	23	40
ASV_955	0	0	10	0	4	28	0	0	0	8	5	4	0	4	7	0	5	44	9	8	8	0	1	0	6	15	0	0	2	0	2	10	12	1	53	11	1	3	24	29	17	18	16	5	14	7	13	14	20	33	17	5	4	3	3	6	4	22	39	1
ASV_703	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	32	29	0	0	85	1	7	17	0	40	30	0	9	50	1	0	0	2	12	39	2	12	86	0	6	29	0	7	73
ASV_794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	6	0	0	3	1	0	11	100	0	6	108	0	1	13	0	0	0	0	60	68	0	12	2	9	3	72	0	0	19
ASV_972	1	0	0	0	12	4	1	9	31	0	2	0	1	5	6	3	2	3	3	4	0	0	0	0	0	12	0	0	5	0	4	5	30	16	3	21	13	10	7	15	5	23	11	1	8	34	7	45	16	22	12	24	0	1	14	9	18	19	49	28
ASV_771	2	0	1	0	0	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	2	4	0	4	0	7	5	0	47	0	0	222	89	16	5	1	0	4	8	17	7	0	0	7	4	0	36	8	8	0	0	27	19	12	1
ASV_795	2	8	20	0	6	0	0	0	0	3	6	0	0	5	6	0	14	2	0	4	0	0	1	9	0	9	0	3	3	0	1	11	9	5	0	4	15	5	8	1	7	4	1	0	0	2	0	2	6	91	6	6	0	1	5	80	194	4	1	3
ASV_1149	4	6	4	6	15	49	19	0	4	1	2	0	2	0	9	1	3	6	12	5	10	1	5	156	0	3	13	32	29	65	0	2	1	4	0	0	3	2	10	5	11	1	21	2	2	8	2	6	2	1	0	2	0	3	0	1	0	16	5	0
ASV_824	2	0	19	4	20	0	0	0	0	0	1	0	0	0	0	0	3	3	0	2	1	0	0	16	0	8	1	0	4	0	14	6	11	23	0	31	17	20	27	21	13	17	23	4	35	19	7	67	18	29	12	8	11	4	3	2	0	25	15	6
ASV_1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	111	32	0	0	45	0	1	13	0	26	54	0	14	35	0	0	0	0	30	49	0	9	25	12	9	32	0	18	46
ASV_721	0	0	0	0	4	0	0	0	3	0	0	0	0	9	0	12	0	0	0	0	15	2	0	3	0	0	0	0	0	0	0	0	43	4	29	84	0	13	26	0	8	1	0	24	24	0	12	0	0	26	30	1	4	68	1	29	22	0	4	69
ASV_1026	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	16	11	0	24	0	2	17	3	2	33	14	20	65	13	6	38	37	32	28	61	2	18	2	5	18	12	0	25	48	2
ASV_629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	64	0	5	0	0	20	5	0	8	156	0	0	0	0	0	0	0	1	31	0	0	1	0	0	215
ASV_742	0	0	0	2	2	0	2	0	0	1	0	0	2	0	1	25	0	2	5	0	0	71	1	10	0	0	0	0	1	0	2	1	1	25	26	2	11	8	8	30	42	1	47	1	5	24	21	17	24	78	3	13	0	1	8	1	0	26	18	0
ASV_875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	55	37	0	8	4	0	33	8	0	9	15	1	26	51	1	0	0	0	24	8	1	10	38	1	1	20	0	4	85
ASV_1053	5	2	3	1	12	0	1	0	0	0	6	0	0	26	1	0	0	6	0	3	6	0	4	0	0	10	0	0	2	1	14	18	4	22	5	6	11	13	27	14	14	2	20	1	6	23	8	47	30	5	11	27	105	15	8	0	2	19	0	1
ASV_1412	20	17	25	2	17	0	0	1	0	2	6	3	0	32	18	2	252	17	4	4	0	0	14	0	0	28	0	2	3	5	7	7	0	6	0	3	1	8	0	15	2	3	14	0	3	4	0	0	0	3	1	2	3	2	3	0	0	2	3	1
ASV_786	0	0	0	6	21	35	9	0	126	5	0	0	3	5	23	3	0	8	8	14	5	117	13	50	9	15	34	0	4	23	3	0	0	2	0	0	1	0	1	1	0	0	2	0	0	7	0	1	3	3	0	1	1	0	4	0	0	1	0	0
ASV_1152	0	0	8	0	5	0	1	1	12	1	6	33	1	11	26	0	12	20	6	10	2	0	1	0	2	5	0	0	0	0	6	21	19	1	80	17	3	4	7	20	16	17	13	5	12	11	7	18	7	22	29	2	0	6	11	17	18	9	5	0
ASV_838	0	12	1	0	18	9	3	0	0	10	1	0	2	0	1	6	0	7	3	5	5	6	5	0	0	5	3	0	3	8	6	0	12	56	0	2	21	17	12	44	4	18	16	0	1	18	3	17	34	22	4	47	0	5	46	5	20	17	5	0
ASV_2338	3	8	4	3	10	0	0	0	0	1	0	4	0	4	4	2	2	10	7	9	0	4	7	0	0	16	1	0	0	0	10	15	2	19	24	59	17	21	9	16	18	22	13	1	2	18	13	31	20	26	2	16	8	11	18	3	12	29	8	1
ASV_1380	1	0	13	0	1	0	0	0	0	2	22	32	0	59	113	6	12	13	3	12	0	0	3	30	2	30	1	0	13	5	4	0	7	1	2	3	0	8	8	2	3	10	5	0	6	2	1	18	4	4	62	0	0	3	0	3	0	7	20	6
ASV_946	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	1	28	0	0	46	0	0	0	0	1	0	0	21	94	0	3	112	0	7	3	0	10	18	0	5	68	0	0	0	0	17	3	0	1	49	1	1	27	0	0	35
ASV_1423	4	13	6	3	8	0	2	1	0	4	3	0	1	0	3	16	49	4	3	5	6	0	14	1	0	26	0	0	4	4	13	16	6	15	11	8	1	19	17	18	4	20	50	16	8	21	11	16	32	5	0	22	4	8	4	9	0	21	5	1
ASV_740	1	3	0	17	13	19	12	0	92	4	0	3	14	3	2	8	0	0	27	2	19	9	2	87	3	5	56	6	2	47	1	0	6	1	0	0	1	0	30	2	3	6	16	0	0	13	3	3	0	5	0	7	0	0	1	5	0	2	0	0
ASV_856	0	11	33	0	1	0	0	0	0	0	5	6	0	1	31	0	1	4	0	2	1	0	1	0	0	25	1	0	2	5	32	29	3	1	0	0	7	4	23	8	4	1	7	3	13	9	38	92	14	16	0	16	20	0	28	31	0	20	8	3
ASV_1142	5	49	13	1	9	13	0	0	1	1	7	33	0	73	34	2	80	23	6	15	9	7	13	8	1	16	16	0	11	30	2	1	1	6	2	1	4	2	1	3	0	2	2	2	0	1	3	3	2	1	2	1	3	2	18	6	0	3	8	1
ASV_1355	3	0	2	3	6	1	3	1	0	10	3	24	1	2	1	0	1	10	0	8	0	2	2	0	0	3	2	1	3	2	11	5	26	20	70	10	3	12	15	11	3	8	11	1	6	22	5	15	34	11	4	24	16	10	24	18	2	22	45	1
ASV_1772	2	4	13	1	7	0	1	0	0	4	2	0	3	4	4	6	2	8	6	9	6	3	0	2	0	3	0	0	1	1	9	0	0	19	1	10	6	7	4	3	0	0	2	0	1	4	2	67	44	7	1	48	62	7	36	28	80	16	3	0
ASV_1175	3	1	20	5	7	0	5	0	0	1	8	3	0	4	0	2	15	0	0	1	4	0	3	0	0	8	3	0	5	3	3	16	15	20	6	29	6	19	0	7	13	22	16	3	4	7	10	5	3	40	2	8	33	98	20	6	4	13	17	12
ASV_1350	0	2	11	1	4	0	0	0	0	0	12	0	0	2	6	0	8	2	0	2	4	0	1	0	0	4	0	6	11	0	0	32	1	6	6	33	7	29	17	5	39	4	13	29	37	6	5	8	12	90	23	2	6	17	4	12	4	10	12	13
ASV_684	5	2	0	3	4	19	6	136	0	3	9	9	3	13	18	0	7	16	2	2	10	0	2	1	0	16	2	0	1	0	4	1	6	4	2	22	5	5	1	12	5	17	7	0	8	12	9	22	20	1	27	20	2	4	0	5	26	12	9	1
